profile	1.1.0	1.1.0-e23cd7e4f-sm_86	cpu_arch=x86_64,gpu_arch=sm_86,cuda_version=12.2.140	# Last updated Tue Nov 18 14:51:46 2025

  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
   0.0150467	     18.9037	     18.9037	          79	 0.000190464	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,comm=0000	# 82.58 Gflop/s, 118.37 GB/s, tuning took 0.152024 seconds at Tue Nov 18 14:51:46 2025
   0.0148714	     18.6835	     37.5871	          79	 0.000188245	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,comm=0000	# 81.47 Gflop/s, 119.76 GB/s, tuning took 0.171579 seconds at Tue Nov 18 14:51:46 2025
   0.0120362	     15.1215	     52.7086	         224	 5.37331e-05	        4x8x8x32	N4quda4blas31caxpbypzYmbwcDotProductUYNormY_IddEE	GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	# 65.86 Gflop/s, 98.18 GB/s, tuning took 0.096311 seconds at Tue Nov 18 14:51:46 2025
  0.00660526	     8.29842	     61.0071	         448	 1.47439e-05	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s8ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,comm=0000	# 1066.79 Gflop/s, 364.49 GB/s, tuning took 0.028177 seconds at Tue Nov 18 14:51:46 2025
  0.00593235	     7.45303	     68.4601	         448	 1.32419e-05	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s8ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,comm=0000	# 1158.10 Gflop/s, 405.83 GB/s, tuning took 0.096438 seconds at Tue Nov 18 14:51:46 2025
  0.00499068	     6.26997	     74.7301	         224	 2.22798e-05	        4x8x8x32	N4quda4blas10CdotNormABIdfEE	GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,n_rhs=1	# 70.60 Gflop/s, 38.24 GB/s, tuning took 0.065773 seconds at Tue Nov 18 14:51:46 2025
  0.00400365	     5.02993	       79.76	         224	 1.78735e-05	        4x8x8x32	N4quda4blas4CdotIdfEE	GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,n_rhs=1	# 44.00 Gflop/s, 47.67 GB/s, tuning took 0.050887 seconds at Tue Nov 18 14:51:46 2025
  0.00288256	     3.62146	     83.3815	          24	 0.000120107	        4x8x8x32	N4quda6WilsonINS_9WilsonArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,comm=0000	# 93.31 Gflop/s, 157.15 GB/s, tuning took 0.239436 seconds at Tue Nov 18 14:51:45 2025
  0.00283569	     3.56258	      86.944	          36	 7.87692e-05	        4x8x8x32	N4quda6CloverIdLi3EEE	GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	# 52.42 Gflop/s, 86.53 GB/s, tuning took 0.043799 seconds at Tue Nov 18 14:51:45 2025
  0.00178615	       2.244	      89.188	           1	  0.00178615	        8x8x8x32	N4quda5FmunuIdLi3EL21QudaReconstructType_s12EEE	GPU-offline,vol=16384,stride=8192,precision=8,geometry=4,Nc=3,r=0000,comm=0000	# 135.72 Gflop/s, 92.46 GB/s, tuning took 1.563054 seconds at Tue Nov 18 14:51:26 2025
   0.0015882	     1.99532	     91.1834	          79	 2.01038e-05	        4x8x8x32	N4quda4blas10caxpyNorm2IddEE	GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	# 78.24 Gflop/s, 234.71 GB/s, tuning took 0.072794 seconds at Tue Nov 18 14:51:46 2025
  0.00154966	     1.94689	     93.1302	           8	 0.000193707	   bytes=2359296	cudaMemcpyDefault	copy,gauge_field.cpp,1085	# 0.00 Gflop/s, 12.18 GB/s, tuning took 0.002064 seconds at Tue Nov 18 14:51:24 2025
 0.000945056	     1.18731	     94.3176	          79	 1.19627e-05	        4x8x8x32	N4quda4blas7axpbyz_IdEE	GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	# 49.31 Gflop/s, 394.44 GB/s, tuning took 0.012418 seconds at Tue Nov 18 14:51:46 2025
 0.000808603	     1.01588	     95.3334	         212	 3.81417e-06	        4x8x8x32	N4quda4blas9cxpaypbz_IfEE	GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,n_rhs=1	# 463.92 Gflop/s, 446.74 GB/s, tuning took 0.009707 seconds at Tue Nov 18 14:51:46 2025
 0.000688947	    0.865549	      96.199	         224	 3.07566e-06	        4x8x8x32	N4quda4blas6caxpy_IfEE	GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,n_rhs=1	# 255.70 Gflop/s, 415.51 GB/s, tuning took 0.009929 seconds at Tue Nov 18 14:51:46 2025
