tunecache	1.1.0	1.1.0-e23cd7e4f-sm_86	cpu_arch=x86_64,gpu_arch=sm_86,cuda_version=12.2.140	# Last updated Tue Nov 18 14:51:46 2025

          volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	aux.x	aux.y	aux.z	aux.w	time	comment
               1	N4quda7reducer11init_reduceIN4cuda3__46atomicIjLNS2_3std3__48__detail12thread_scopeE1EEEEE	GPU-offline,	32	1	1	1	1	1	0	-1	-1	-1	-1	3.40282e+38	# default
          114688	N4quda15TransformReduceINS_7maximumIdEEKNS_7complexIdEEmNS_8abs_max_IddEENS_8identityEEE	,batch_size=1	128	1	1	56	1	1	0	-1	-1	-1	-1	1.19758e-05	# 0.00 Gflop/s, 153.23 GB/s, tuning took 0.046588 seconds at Tue Nov 11 17:50:49 2025
          458752	N4quda15TransformReduceINS_7maximumIdEEKNS_7complexIdEEmNS_8abs_max_IddEENS_8identityEEE	,batch_size=1	256	1	1	52	1	1	0	-1	-1	-1	-1	3.12475e-05	# 0.00 Gflop/s, 234.90 GB/s, tuning took 0.180547 seconds at Tue Nov 18 14:51:30 2025
         4x4x4x4	N4quda10CopyCloverINS_6clover11FloatNOrderIsLi72ELi8ELb0ELb1ELb0EEENS2_IdLi72ELi2ELb0ELb1ELb0EEEsdEE	GPU-offline,vol=256precision=8Nc=3	32	1	1	4	2	1	6145	-1	-1	-1	-1	2.7893e-06	# 0.00 Gflop/s, 51.40 GB/s, tuning took 0.020295 seconds at Tue Nov 11 17:50:21 2025
         4x4x4x4	N4quda11CopyGaugeExIddLi18ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEES5_EE	GPU-offline,vol=256,stride=160,precision=8,geometry=4,Nc=3vol=256,stride=128,precision=8,geometry=4,Nc=3,r=0000	64	1	1	2	2	1	0	-1	-1	-1	-1	3.22065e-06	# 0.00 Gflop/s, 68.68 GB/s, tuning took 0.061437 seconds at Tue Nov 11 17:50:21 2025
         4x4x4x4	N4quda12CloverInvertIdEE	GPU-offline,vol=256precision=8Nc=3,trlog,twist=false	32	2	1	7	1	1	8193	-1	-1	-1	-1	2.65987e-05	# 0.00 Gflop/s, 4.31 GB/s, tuning took 0.093910 seconds at Tue Nov 11 17:50:21 2025
         4x4x4x4	N4quda12ExtractGhostIdLi3ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEE	GPU-offline,vol=256,stride=160,precision=8,geometry=4,Nc=3,extract	32	1	1	2	1	8	3781	-1	-1	-1	-1	2.2152e-06	# 0.00 Gflop/s, 22.19 GB/s, tuning took 0.016321 seconds at Tue Nov 11 17:45:35 2025
         4x4x4x4	N4quda13ComputeCloverIdEE	GPU-offline,vol=256precision=8Nc=3	32	1	1	4	2	1	0	-1	-1	-1	-1	5.44668e-06	# 22.56 Gflop/s, 61.67 GB/s, tuning took 0.022178 seconds at Tue Nov 11 17:50:21 2025
         4x4x4x4	N4quda5FmunuIdLi3EL21QudaReconstructType_s12EEE	GPU-offline,vol=256,stride=128,precision=8,geometry=4,Nc=3,r=0000,comm=0000	32	1	1	4	2	6	3073	-1	-1	-1	-1	3.84369e-05	# 98.55 Gflop/s, 67.14 GB/s, tuning took 0.076644 seconds at Tue Nov 11 17:50:21 2025
         4x4x4x4	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS2_8QDPOrderIdLi18EEEEEEE	GPU-offline,vol=256,stride=128,precision=8,geometry=4,Nc=3,vol=256,stride=160,precision=8,geometry=4,Nc=3	32	1	4	4	1	2	0	-1	-1	-1	-1	2.6668e-06	# 0.00 Gflop/s, 101.37 GB/s, tuning took 0.053606 seconds at Tue Nov 11 17:45:35 2025
         4x4x4x4	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEES6_EEEE	GPU-offline,vol=256,stride=160,precision=8,geometry=4,Nc=3,vol=256,stride=160,precision=8,geometry=4,Nc=3,ghost	352	1	1	1	1	8	0	-1	-1	-1	-1	2.11871e-06	# 0.00 Gflop/s, 29.00 GB/s, tuning took 0.009631 seconds at Tue Nov 11 17:45:35 2025
